"1","Франция"
"2","Испания"
"3","Соединённые Штаты Америки"
"4","Китай",
"5","Венгрия"
"6","Италия"
"7","Турция"
"8","Мексика"
"9","Хорватия"
"10","Дания"
"11","Германия"
"12","Таиланд"
"13","Великобритания"
"14","Румыния"
"15","Япония"
"16","Австрия"
"17","ОбЪединенные Арабские Эмираты"
"18","Греция"
"19","Гонконг"
"20","Малайзия"
"21","Россия"
"22","Португалия"
"23","Канада"
"24","Польша"
"25","Нидерланды"
"26","Болгария"
"27","Латвия"
"28","Бельгия"
"29","Вьетнам"
"30","Грузия"
"31","Филиппины"
"32","Норвегия"
"33","Литва"
"34","Корея"
"35","Швеция"
"36","Финляндия"
